品类,月份,库存量
category225,2023/6/1,4676058 
category84,2023/1/1,4421974 
category21,2023/1/1,4411095 
category84,2022/7/1,3689222 
category84,2023/2/1,3431261 
category225,2023/3/1,3133157 
category225,2022/7/1,3095300 
category225,2023/1/1,2966388 
category84,2023/6/1,2913526 
category225,2023/2/1,2890619 
category225,2022/8/1,2799741 
category225,2023/4/1,2770633 
category225,2023/5/1,2723946 
category21,2023/6/1,2708773 
category254,2023/6/1,2675098 
category84,2023/3/1,2660037 
category21,2023/2/1,2651531 
category84,2022/8/1,2505403 
category42,2022/9/1,2467824 
category225,2022/9/1,2448966 
category42,2022/8/1,2436194 
category21,2022/7/1,2379868 
category42,2023/1/1,2354761 
category42,2023/2/1,2349618 
category42,2022/7/1,2306150 
category141,2023/1/1,2260125 
category84,2022/9/1,2136638 
category84,2023/4/1,2090701 
category42,2023/3/1,2064744 
category21,2023/3/1,2062100 
category141,2022/9/1,2036315 
category254,2023/1/1,1975639 
category254,2023/5/1,1882343 
category209,2022/7/1,1864077 
category21,2022/9/1,1847483 
category84,2023/5/1,1846707 
category141,2022/8/1,1829109 
category42,2023/6/1,1808391 
category209,2022/8/1,1778521 
category21,2022/8/1,1770288 
category254,2022/7/1,1765556 
category42,2023/4/1,1763945 
category141,2023/2/1,1731460 
category141,2022/7/1,1709579 
category141,2023/3/1,1653061 
category21,2023/4/1,1625555 
category209,2022/9/1,1601044 
category254,2022/9/1,1595692 
category254,2022/8/1,1592938 
category42,2023/5/1,1588575 
category141,2023/4/1,1566902 
category254,2023/2/1,1565495 
category21,2023/5/1,1555956 
category141,2023/5/1,1486768 
category209,2023/4/1,1406055 
category254,2023/3/1,1404770 
category209,2023/5/1,1397745 
category209,2023/1/1,1326066 
category254,2023/4/1,1305514 
category141,2023/6/1,1277890 
category209,2023/2/1,1273423 
category209,2023/3/1,1256435 
category137,2023/6/1,1228225 
category2,2023/6/1,1223950 
category308,2023/6/1,1136474 
category209,2023/6/1,1082572 
category137,2023/2/1,1066015 
category137,2023/1/1,1052907 
category153,2023/1/1,1035659 
category20,2023/6/1,998721 
category65,2022/7/1,959127 
category153,2023/2/1,913943 
category164,2023/6/1,902611 
category153,2022/8/1,894672 
category153,2022/7/1,893591 
category20,2022/7/1,874100 
category20,2023/1/1,860071 
category40,2022/7/1,844069 
category276,2023/1/1,842452 
category137,2023/3/1,841817 
category40,2023/6/1,840585 
category197,2023/6/1,828850 
category40,2023/3/1,821467 
category137,2023/5/1,816840 
category137,2023/4/1,813666 
category276,2023/6/1,813532 
category2,2022/7/1,811283 
category164,2022/7/1,798561 
category2,2023/1/1,790470 
category65,2023/6/1,780094 
category20,2023/2/1,770605 
category137,2022/9/1,748353 
category40,2023/2/1,739347 
category20,2022/8/1,739007 
category197,2023/5/1,718364 
category197,2023/2/1,717202 
category40,2023/1/1,716685 
category87,2023/1/1,707225 
category102,2023/1/1,705287 
category60,2023/6/1,702849 
category102,2023/6/1,702408 
category2,2023/2/1,699126 
category65,2022/8/1,679229 
category308,2023/2/1,671128 
category308,2023/3/1,659795 
category276,2022/7/1,658859 
category197,2023/1/1,657185 
category197,2023/4/1,656664 
category130,2023/2/1,655199 
category2,2022/8/1,652796 
category2,2023/3/1,650986 
category276,2023/3/1,646711 
category153,2023/3/1,645417 
category60,2022/7/1,639427 
category20,2023/3/1,638687 
category276,2023/2/1,637785 
category20,2022/9/1,637292 
category276,2023/4/1,637023 
category308,2023/5/1,636002 
category276,2023/5/1,628926 
category65,2023/1/1,628789 
category197,2023/3/1,628336 
category279,2023/6/1,624793 
category308,2023/4/1,613699 
category65,2022/9/1,611954 
category276,2022/9/1,610063 
category276,2022/8/1,607660 
category308,2022/7/1,605595 
category40,2022/8/1,603528 
category164,2023/2/1,599986 
category20,2023/5/1,594010 
category65,2023/2/1,585978 
category197,2022/7/1,584434 
category279,2022/7/1,583854 
category164,2023/1/1,578676 
category102,2023/2/1,576453 
category40,2022/9/1,571117 
category279,2023/3/1,567438 
category308,2023/1/1,565508 
category60,2023/1/1,565141 
category2,2022/9/1,564418 
category102,2022/7/1,561977 
category279,2022/8/1,560681 
category130,2023/1/1,559657 
category20,2023/4/1,559506 
category279,2023/5/1,559447 
category2,2023/4/1,558724 
category308,2022/9/1,557901 
category65,2023/5/1,556434 
category279,2023/1/1,554013 
category164,2022/8/1,550120 
category60,2023/5/1,548783 
category65,2023/3/1,547422 
category2,2023/5/1,546004 
category87,2022/7/1,545547 
category87,2023/2/1,539584 
category40,2023/4/1,538270 
category243,2023/6/1,537836 
category130,2022/7/1,537259 
category263,2023/6/1,535916 
category279,2022/9/1,534198 
category197,2022/8/1,531919 
category60,2023/2/1,530045 
category87,2023/6/1,524962 
category192,2023/1/1,523527 
category79,2022/9/1,522950 
category60,2022/8/1,521049 
category60,2023/3/1,519570 
category323,2022/7/1,515852 
category87,2022/8/1,511187 
category279,2023/2/1,510534 
category279,2023/4/1,503826 
category60,2023/4/1,501323 
category153,2022/9/1,493190 
category102,2023/3/1,489520 
category308,2022/8/1,484947 
category164,2023/5/1,480942 
category130,2023/6/1,478360 
category164,2022/9/1,472104 
category197,2022/9/1,471573 
category245,2023/6/1,471092 
category65,2023/4/1,467717 
category164,2023/4/1,465207 
category153,2023/4/1,462699 
category243,2023/1/1,460670 
category40,2023/5/1,458676 
category243,2022/7/1,454823 
category259,2022/7/1,450816 
category104,2023/6/1,447620 
category164,2023/3/1,444684 
category87,2023/3/1,439286 
category109,2023/6/1,436790 
category102,2022/8/1,435750 
category130,2023/3/1,435545 
category102,2022/9/1,427502 
category259,2023/6/1,420015 
category245,2023/1/1,418786 
category87,2023/5/1,416896 
category130,2022/8/1,416780 
category87,2022/9/1,415760 
category102,2023/5/1,415691 
category166,2023/6/1,415544 
category109,2023/5/1,407561 
category259,2022/8/1,405451 
category243,2023/2/1,404188 
category87,2023/4/1,400140 
category109,2023/4/1,396361 
category323,2022/8/1,393048 
category280,2023/1/1,392383 
category243,2022/8/1,391572 
category109,2023/3/1,390659 
category237,2022/7/1,389432 
category30,2022/7/1,388594 
category102,2023/4/1,384087 
category259,2023/5/1,382565 
category60,2022/9/1,382527 
category30,2023/6/1,382503 
category259,2023/4/1,382082 
category153,2023/6/1,375739 
category263,2023/1/1,374880 
category153,2023/5/1,374592 
category109,2023/2/1,371221 
category237,2023/6/1,370230 
category130,2022/9/1,369601 
category245,2023/2/1,369240 
category130,2023/4/1,365006 
category109,2023/1/1,362790 
category263,2023/2/1,358996 
category237,2022/8/1,358127 
category30,2023/1/1,357478 
category79,2023/6/1,355053 
category48,2023/6/1,352067 
category259,2022/9/1,350105 
category280,2023/6/1,344781 
category283,2023/6/1,343098 
category259,2023/3/1,340978 
category259,2023/1/1,340409 
category313,2023/6/1,340130 
category166,2022/7/1,338489 
category280,2022/7/1,337985 
category242,2023/1/1,336827 
category263,2023/3/1,336751 
category109,2022/8/1,336152 
category95,2022/7/1,336018 
category104,2023/5/1,334712 
category245,2023/3/1,333912 
category109,2022/7/1,333310 
category166,2023/1/1,332269 
category245,2022/7/1,331365 
category243,2023/5/1,330165 
category48,2023/1/1,326039 
category243,2023/3/1,325284 
category226,2023/6/1,324197 
category263,2022/7/1,323316 
category109,2022/9/1,322865 
category30,2023/2/1,322427 
category266,2023/6/1,321537 
category95,2022/8/1,321081 
category166,2023/2/1,318594 
category243,2022/9/1,317793 
category245,2023/5/1,317630 
category86,2023/6/1,312809 
category95,2023/6/1,312524 
category263,2023/4/1,310823 
category130,2023/5/1,310524 
category195,2023/6/1,309631 
category183,2023/6/1,309461 
category95,2023/4/1,308860 
category280,2023/3/1,308725 
category266,2022/7/1,307160 
category280,2023/2/1,307135 
category243,2023/4/1,305045 
category259,2023/2/1,304729 
category263,2023/5/1,304142 
category313,2022/7/1,300301 
category237,2023/3/1,300115 
category30,2023/3/1,298936 
category223,2023/6/1,298804 
category185,2023/6/1,296732 
category32,2022/7/1,296419 
category44,2023/6/1,293967 
category30,2022/9/1,292506 
category32,2022/8/1,291714 
category86,2023/1/1,291205 
category95,2023/5/1,290498 
category237,2023/5/1,290438 
category61,2023/6/1,290319 
category95,2023/1/1,288834 
category245,2023/4/1,288718 
category86,2023/5/1,287201 
category30,2022/8/1,285997 
category166,2023/3/1,284688 
category166,2023/4/1,283033 
category48,2023/3/1,281033 
category186,2023/6/1,280435 
category32,2023/6/1,279942 
category86,2023/2/1,279656 
category95,2023/3/1,279512 
category263,2022/8/1,278003 
category30,2023/5/1,277904 
category95,2022/9/1,277628 
category86,2023/3/1,276605 
category30,2023/4/1,274416 
category32,2023/4/1,274051 
category32,2023/3/1,271918 
category95,2023/2/1,270819 
category200,2023/1/1,269140 
category104,2023/4/1,269019 
category299,2023/1/1,268685 
category48,2022/7/1,265257 
category32,2023/5/1,264789 
category313,2023/1/1,264710 
category237,2023/2/1,263018 
category280,2022/8/1,262743 
category188,2023/6/1,262725 
category237,2023/1/1,262182 
category299,2023/2/1,260797 
category32,2022/9/1,260469 
category263,2022/9/1,259403 
category61,2023/5/1,259234 
category237,2023/4/1,259190 
category61,2023/1/1,257595 
category48,2022/8/1,257524 
category283,2022/7/1,257504 
category86,2023/4/1,256274 
category313,2023/5/1,255835 
category280,2023/5/1,254841 
category323,2022/9/1,254461 
category237,2022/9/1,254400 
category242,2023/6/1,254362 
category166,2023/5/1,253352 
category48,2023/2/1,252358 
category48,2022/9/1,248771 
category226,2023/5/1,247267 
category299,2022/8/1,247074 
category61,2022/7/1,247068 
category195,2022/7/1,245796 
category32,2023/2/1,245278 
category299,2022/9/1,245248 
category280,2023/4/1,244247 
category299,2023/4/1,241548 
category299,2022/7/1,241518 
category166,2022/8/1,240210 
category283,2022/9/1,239658 
category86,2022/8/1,239654 
category299,2023/3/1,239619 
category313,2023/4/1,239259 
category313,2022/8/1,237956 
category242,2023/2/1,237744 
category77,2023/5/1,236917 
category61,2023/4/1,234350 
category223,2022/7/1,233842 
category283,2022/8/1,233010 
category86,2022/9/1,231655 
category299,2023/5/1,230010 
category245,2022/8/1,229136 
category283,2023/1/1,228895 
category226,2023/4/1,228473 
category299,2023/6/1,227752 
category15,2023/6/1,227671 
category245,2022/9/1,227127 
category86,2022/7/1,226325 
category32,2023/1/1,226324 
category61,2022/8/1,226270 
category195,2023/1/1,225988 
category128,2023/1/1,225432 
category303,2023/2/1,224622 
category77,2023/6/1,222482 
category44,2023/2/1,220917 
category280,2022/9/1,220331 
category283,2023/5/1,219104 
category266,2023/5/1,218844 
category242,2022/9/1,216790 
category15,2023/1/1,215329 
category128,2023/2/1,213641 
category223,2022/8/1,212538 
category63,2023/1/1,212031 
category61,2023/3/1,211985 
category89,2023/6/1,211673 
category61,2022/9/1,209476 
category15,2022/7/1,207778 
category166,2022/9/1,206928 
category161,2022/7/1,206399 
category15,2022/9/1,205495 
category77,2023/1/1,203882 
category283,2023/4/1,203170 
category79,2022/8/1,203037 
category128,2022/8/1,202947 
category104,2023/1/1,202662 
category303,2023/1/1,202365 
category262,2022/7/1,200662 
category200,2023/6/1,200514 
category128,2022/9/1,200200 
category185,2023/2/1,200039 
category48,2023/4/1,199995 
category63,2023/2/1,199950 
category200,2023/2/1,199926 
category313,2023/3/1,199727 
category12,2023/1/1,198869 
category104,2023/3/1,198433 
category97,2023/6/1,197663 
category58,2023/6/1,197643 
category15,2023/3/1,197470 
category169,2023/6/1,197194 
category182,2022/9/1,195249 
category195,2023/3/1,194885 
category185,2022/7/1,194789 
category15,2022/8/1,192157 
category203,2022/7/1,191911 
category196,2023/6/1,191849 
category313,2023/2/1,191451 
category262,2023/4/1,191121 
category262,2023/6/1,191040 
category15,2023/2/1,190842 
category15,2023/5/1,190230 
category44,2023/3/1,190068 
category195,2023/2/1,189946 
category61,2023/2/1,189900 
category200,2022/7/1,189783 
category77,2022/8/1,189439 
category77,2023/2/1,188778 
category183,2022/8/1,188343 
category242,2023/3/1,188340 
category200,2023/4/1,187439 
category192,2023/2/1,187028 
category262,2023/5/1,186887 
category262,2022/8/1,186694 
category250,2023/6/1,186386 
category186,2023/5/1,186348 
category29,2022/7/1,185887 
category283,2023/3/1,184744 
category283,2023/2/1,184173 
category282,2023/1/1,184159 
category185,2023/1/1,183874 
category15,2023/4/1,183711 
category266,2022/8/1,183088 
category188,2023/5/1,183065 
category128,2023/3/1,182891 
category124,2023/6/1,182624 
category282,2022/7/1,182519 
category128,2023/4/1,182095 
category285,2023/6/1,181772 
category242,2022/8/1,181305 
category286,2023/6/1,180584 
category262,2023/1/1,179897 
category200,2023/3/1,179818 
category203,2023/6/1,179799 
category191,2023/6/1,178510 
category262,2022/9/1,178344 
category58,2022/7/1,176840 
category242,2023/4/1,176758 
category191,2022/7/1,176613 
category223,2023/3/1,176022 
category242,2022/7/1,175910 
category183,2022/7/1,175529 
category195,2023/4/1,175216 
category195,2023/5/1,174830 
category128,2022/7/1,174484 
category188,2023/1/1,174329 
category286,2023/4/1,174230 
category24,2023/6/1,173477 
category266,2023/1/1,173217 
category223,2022/9/1,173045 
category17,2023/6/1,172457 
category104,2022/7/1,172128 
category282,2022/8/1,171845 
category242,2023/5/1,171686 
category262,2023/3/1,171108 
category183,2022/9/1,170529 
category195,2022/8/1,170087 
category190,2022/7/1,169778 
category44,2023/4/1,169019 
category250,2022/7/1,168653 
category282,2023/6/1,168591 
category223,2023/5/1,167725 
category325,2022/7/1,166610 
category77,2023/4/1,165495 
category286,2022/7/1,165435 
category240,2023/4/1,164948 
category240,2023/6/1,164765 
category58,2023/2/1,164451 
category282,2023/2/1,164370 
category223,2023/1/1,163511 
category186,2023/1/1,163045 
category185,2023/5/1,162830 
category191,2023/2/1,162505 
category161,2023/1/1,162054 
category185,2023/3/1,161280 
category250,2023/1/1,160677 
category200,2023/5/1,160603 
category104,2022/9/1,160584 
category129,2023/6/1,160529 
category240,2022/7/1,160418 
category223,2023/2/1,160354 
category200,2022/9/1,160125 
category262,2023/2/1,160079 
category128,2023/6/1,159945 
category200,2022/8/1,159664 
category89,2023/5/1,159302 
category183,2023/5/1,158934 
category286,2023/5/1,158798 
category104,2023/2/1,158789 
category128,2023/5/1,158451 
category286,2022/8/1,158370 
category139,2023/6/1,158324 
category104,2022/8/1,157210 
category185,2022/8/1,157130 
category186,2023/4/1,156782 
category137,2022/8/1,156538 
category188,2023/3/1,156513 
category188,2023/4/1,156009 
category29,2022/8/1,155891 
category250,2023/2/1,155704 
category44,2023/5/1,155663 
category124,2023/5/1,155076 
category240,2023/5/1,154745 
category77,2022/9/1,154353 
category77,2023/3/1,154237 
category303,2023/3/1,153835 
category195,2022/9/1,153263 
category191,2023/1/1,152640 
category286,2023/1/1,152583 
category240,2022/8/1,152331 
category203,2023/1/1,152318 
category325,2023/6/1,151895 
category185,2023/4/1,151839 
category266,2023/4/1,151803 
category47,2023/6/1,151795 
category203,2022/8/1,151166 
category191,2023/5/1,150519 
category286,2023/2/1,150134 
category286,2022/9/1,150093 
category58,2023/1/1,149218 
category44,2022/8/1,148643 
category266,2023/2/1,148553 
category286,2023/3/1,148141 
category47,2023/4/1,147840 
category44,2022/7/1,147808 
category62,2023/6/1,146222 
category313,2022/9/1,146078 
category325,2023/1/1,145123 
category48,2023/5/1,144809 
category282,2022/9/1,144640 
category148,2022/7/1,144414 
category186,2023/3/1,143669 
category89,2023/4/1,143386 
category151,2023/6/1,142904 
category17,2023/1/1,142357 
category129,2023/5/1,142020 
category203,2023/3/1,141942 
category161,2022/8/1,141869 
category191,2023/3/1,141826 
category77,2022/7/1,141596 
category240,2022/9/1,141368 
category191,2023/4/1,141320 
category240,2023/1/1,140398 
category72,2022/7/1,140363 
category223,2023/4/1,140114 
category161,2023/6/1,139717 
category316,2023/6/1,139592 
category285,2023/1/1,139308 
category188,2022/9/1,138858 
category203,2022/9/1,138783 
category198,2022/7/1,138702 
category316,2023/4/1,138573 
category17,2023/5/1,138291 
category240,2023/3/1,137956 
category196,2023/5/1,137922 
category191,2022/8/1,137524 
category29,2023/2/1,137328 
category196,2022/7/1,136862 
category63,2023/3/1,136641 
category89,2022/9/1,135744 
category97,2023/1/1,135562 
category29,2022/9/1,135354 
category183,2023/4/1,135161 
category62,2023/5/1,134679 
category303,2022/8/1,134473 
category17,2023/3/1,133959 
category151,2022/9/1,133537 
category47,2023/1/1,133409 
category129,2023/4/1,133312 
category316,2023/5/1,133239 
category17,2023/4/1,133131 
category47,2023/5/1,133055 
category93,2022/7/1,132772 
category282,2023/5/1,132605 
category198,2023/1/1,132092 
category203,2023/5/1,131725 
category151,2022/7/1,131713 
category47,2023/3/1,131668 
category248,2023/6/1,131476 
category44,2023/1/1,130768 
category63,2022/9/1,130409 
category35,2023/6/1,130378 
category287,2023/6/1,130141 
category17,2023/2/1,130127 
category161,2023/5/1,129973 
category63,2022/8/1,129877 
category240,2023/2/1,129451 
category186,2023/2/1,129379 
category47,2023/2/1,129297 
category282,2023/3/1,129256 
category266,2023/3/1,128340 
category89,2022/8/1,128126 
category247,2022/7/1,127741 
category169,2023/5/1,127734 
category12,2022/7/1,127657 
category191,2022/9/1,127152 
category325,2023/4/1,126520 
category203,2023/2/1,126469 
category161,2023/4/1,126370 
category29,2023/1/1,126317 
category29,2023/6/1,125996 
category316,2023/2/1,125996 
category58,2023/3/1,125860 
category282,2023/4/1,125787 
category325,2022/8/1,125760 
category247,2023/4/1,125714 
category151,2023/3/1,125703 
category12,2022/9/1,125522 
category151,2022/8/1,125365 
category285,2023/3/1,125333 
category316,2023/1/1,124716 
category250,2022/9/1,124691 
category151,2023/1/1,124577 
category47,2022/7/1,124545 
category58,2022/8/1,124032 
category62,2022/7/1,123762 
category165,2023/6/1,123688 
category316,2023/3/1,123661 
category89,2023/3/1,123657 
category253,2023/6/1,123649 
category203,2023/4/1,123625 
category58,2022/9/1,123616 
category188,2023/2/1,122964 
category12,2023/2/1,122945 
category89,2023/1/1,122916 
category97,2023/3/1,122596 
category247,2022/8/1,122586 
category29,2023/5/1,122236 
category316,2022/7/1,121833 
category154,2023/6/1,121397 
category325,2023/5/1,121309 
category325,2023/3/1,121201 
category136,2022/7/1,120504 
category161,2023/3/1,120451 
category285,2023/4/1,120042 
category29,2023/4/1,119968 
category316,2022/8/1,119948 
category185,2022/9/1,119883 
category152,2023/6/1,119770 
category72,2022/8/1,119764 
category190,2023/1/1,119339 
category247,2023/5/1,118589 
category47,2022/8/1,118389 
category62,2023/3/1,118261 
category190,2023/6/1,118111 
category72,2023/6/1,117986 
category247,2023/1/1,117860 
category151,2023/2/1,117729 
category307,2023/6/1,117695 
category250,2022/8/1,116448 
category248,2022/7/1,116395 
category303,2023/6/1,116331 
category17,2022/7/1,116133 
category250,2023/5/1,116081 
category303,2023/4/1,115907 
category247,2023/6/1,115852 
category17,2022/9/1,115388 
category97,2023/2/1,115287 
category316,2022/9/1,115173 
category303,2023/5/1,114949 
category247,2023/2/1,114798 
category190,2022/8/1,114373 
category62,2023/4/1,114267 
category12,2023/6/1,113440 
category247,2022/9/1,113367 
category250,2023/3/1,113202 
category58,2023/4/1,112246 
category72,2023/3/1,111815 
category89,2022/7/1,111647 
category325,2022/9/1,111572 
category29,2023/3/1,111332 
category285,2022/9/1,110799 
category161,2023/2/1,110793 
category285,2022/7/1,110735 
category124,2023/4/1,110668 
category47,2022/9/1,110456 
category56,2023/1/1,110434 
category325,2023/2/1,110316 
category285,2023/2/1,110145 
category247,2023/3/1,110102 
category58,2023/5/1,109597 
category124,2023/1/1,109017 
category93,2023/1/1,108908 
category62,2023/1/1,108843 
category35,2022/7/1,108748 
category161,2022/9/1,108428 
category190,2023/4/1,108283 
category72,2022/9/1,107509 
category151,2023/4/1,107137 
category171,2023/1/1,106269 
category152,2023/5/1,105674 
category250,2023/4/1,105239 
category72,2023/4/1,105156 
category253,2023/5/1,104911 
category160,2022/7/1,104745 
category196,2023/4/1,104614 
category198,2022/9/1,104400 
category17,2022/8/1,104109 
category129,2023/1/1,103809 
category248,2023/2/1,103791 
category253,2023/3/1,103189 
category208,2023/6/1,103070 
category12,2022/8/1,103022 
category24,2023/5/1,102778 
category79,2023/5/1,102635 
category198,2022/8/1,102001 
category151,2023/5/1,101933 
category35,2022/8/1,101755 
category12,2023/3/1,101330 
category273,2023/1/1,101029 
category89,2023/2/1,100702 
category253,2023/4/1,100620 
category97,2022/7/1,100577 
category16,2023/4/1,100318 
category196,2022/8/1,99864 
category160,2023/2/1,99852 
category93,2023/2/1,99211 
category160,2023/1/1,98867 
category103,2023/6/1,98836 
category169,2023/4/1,98776 
category121,2023/6/1,98387 
category35,2023/1/1,98321 
category136,2022/8/1,98233 
category285,2023/5/1,97790 
category190,2023/5/1,97607 
category16,2023/1/1,97513 
category97,2023/5/1,97486 
category135,2023/4/1,97125 
category129,2023/3/1,96786 
category135,2023/6/1,96619 
category16,2022/7/1,96511 
category16,2023/6/1,96316 
category248,2023/5/1,95454 
category93,2022/8/1,95276 
