品类,月份,库存量
category59,2022/7/1,2439 
category113,2023/3/1,2435 
category265,2023/5/1,2432 
category99,2022/8/1,2424 
category162,2022/7/1,2419 
category126,2023/4/1,2413 
category335,2022/7/1,2398 
category301,2023/4/1,2397 
category148,2022/8/1,2395 
category101,2023/2/1,2391 
category289,2023/1/1,2390 
category292,2023/6/1,2374 
category278,2023/3/1,2362 
category106,2022/7/1,2354 
category92,2022/7/1,2337 
category101,2022/9/1,2333 
category179,2022/9/1,2331 
category302,2023/2/1,2331 
category289,2023/3/1,2330 
category255,2023/2/1,2321 
category120,2023/3/1,2314 
category182,2023/3/1,2308 
category11,2022/8/1,2305 
category129,2022/7/1,2299 
category179,2023/3/1,2298 
category289,2023/5/1,2293 
category99,2023/6/1,2266 
category314,2023/2/1,2264 
category162,2023/3/1,2259 
category298,2023/3/1,2245 
category301,2023/2/1,2229 
category5,2023/4/1,2226 
category112,2023/5/1,2225 
category99,2023/4/1,2223 
category92,2023/3/1,2221 
category113,2022/7/1,2210 
category278,2023/6/1,2209 
category113,2023/2/1,2206 
category113,2022/9/1,2205 
category340,2023/2/1,2201 
category81,2023/3/1,2199 
category265,2023/1/1,2199 
category301,2022/8/1,2190 
category113,2022/8/1,2188 
category342,2023/1/1,2188 
category133,2023/1/1,2182 
category96,2022/7/1,2178 
category182,2023/4/1,2170 
category180,2023/6/1,2169 
category96,2022/8/1,2168 
category131,2023/3/1,2156 
category180,2022/9/1,2151 
category113,2023/1/1,2136 
category99,2023/2/1,2133 
category182,2023/5/1,2127 
category344,2023/5/1,2114 
category81,2022/9/1,2107 
category314,2023/3/1,2097 
category126,2023/2/1,2087 
category175,2023/6/1,2087 
category99,2023/5/1,2081 
category340,2023/5/1,2069 
category182,2023/6/1,2067 
category340,2023/3/1,2066 
category126,2023/3/1,2061 
category92,2022/8/1,2054 
category220,2022/8/1,2045 
category346,2023/1/1,2043 
category81,2022/7/1,2043 
category220,2022/9/1,2040 
category340,2023/4/1,2029 
category278,2023/4/1,2021 
category145,2022/7/1,2021 
category106,2023/6/1,2012 
category126,2023/5/1,2007 
category341,2022/7/1,2006 
category342,2023/4/1,1999 
category99,2023/1/1,1974 
category265,2023/4/1,1974 
category309,2023/5/1,1956 
category289,2022/9/1,1949 
category330,2023/5/1,1939 
category346,2023/2/1,1921 
category3,2022/7/1,1917 
category92,2023/5/1,1905 
category126,2023/1/1,1893 
category133,2023/3/1,1890 
category81,2023/1/1,1888 
category220,2023/1/1,1886 
category278,2023/5/1,1884 
category301,2023/5/1,1882 
category68,2022/7/1,1873 
category298,2022/9/1,1869 
category179,2023/2/1,1869 
category341,2023/3/1,1869 
category292,2023/4/1,1866 
category180,2023/3/1,1860 
category133,2023/2/1,1858 
category217,2022/7/1,1854 
category175,2022/8/1,1853 
category220,2023/6/1,1849 
category346,2022/8/1,1844 
category350,2023/1/1,1838 
category106,2023/1/1,1834 
category99,2023/3/1,1789 
category179,2023/4/1,1785 
category220,2023/2/1,1776 
category269,2023/5/1,1751 
category319,2023/6/1,1731 
category346,2023/3/1,1711 
category126,2022/8/1,1701 
category119,2023/6/1,1687 
category334,2023/6/1,1687 
category298,2022/7/1,1676 
category69,2022/7/1,1664 
category68,2023/1/1,1662 
category175,2023/5/1,1661 
category298,2022/8/1,1657 
category207,2023/4/1,1648 
category131,2023/2/1,1634 
category175,2023/3/1,1634 
category220,2022/7/1,1630 
category217,2022/8/1,1629 
category341,2022/9/1,1626 
category350,2022/8/1,1613 
category139,2022/9/1,1612 
category41,2023/4/1,1607 
category126,2022/7/1,1603 
category126,2022/9/1,1600 
category175,2022/9/1,1582 
category298,2023/2/1,1578 
category179,2023/5/1,1570 
category314,2023/4/1,1569 
category335,2022/8/1,1558 
category314,2023/6/1,1556 
category298,2023/6/1,1549 
category92,2023/4/1,1548 
category11,2022/7/1,1544 
category133,2022/9/1,1527 
category148,2023/5/1,1491 
category131,2023/5/1,1488 
category220,2023/3/1,1485 
category179,2023/1/1,1485 
category67,2023/6/1,1483 
category179,2023/6/1,1481 
category162,2022/8/1,1479 
category96,2023/1/1,1477 
category346,2022/9/1,1471 
category96,2023/3/1,1469 
category68,2022/8/1,1468 
category298,2023/4/1,1468 
category298,2023/1/1,1467 
category265,2023/2/1,1464 
category96,2022/9/1,1445 
category81,2023/4/1,1444 
category265,2023/3/1,1443 
category323,2023/4/1,1441 
category310,2022/7/1,1440 
category96,2023/4/1,1438 
category175,2023/4/1,1437 
category220,2023/4/1,1434 
category335,2023/1/1,1432 
category69,2022/8/1,1424 
category66,2022/7/1,1423 
category217,2022/9/1,1416 
category310,2022/8/1,1413 
category298,2023/5/1,1412 
category148,2023/6/1,1411 
category310,2022/9/1,1406 
category349,2022/7/1,1406 
category206,2022/7/1,1403 
category68,2023/4/1,1399 
category202,2022/8/1,1399 
category96,2023/2/1,1392 
category10,2023/3/1,1373 
category179,2022/8/1,1372 
category134,2022/7/1,1372 
category145,2022/8/1,1370 
category106,2022/9/1,1370 
category314,2022/8/1,1366 
category342,2022/7/1,1364 
category68,2023/3/1,1360 
category350,2023/6/1,1357 
category134,2022/8/1,1354 
category134,2022/9/1,1352 
category344,2023/4/1,1351 
category341,2022/8/1,1347 
category68,2022/9/1,1334 
category112,2023/2/1,1327 
category199,2023/1/1,1327 
category234,2022/7/1,1323 
category162,2023/6/1,1321 
category106,2022/8/1,1315 
category207,2023/5/1,1310 
category96,2023/5/1,1309 
category68,2023/5/1,1308 
category327,2022/7/1,1308 
category69,2023/6/1,1306 
category57,2023/4/1,1306 
category310,2023/1/1,1300 
category59,2022/8/1,1289 
category132,2023/5/1,1289 
category310,2023/2/1,1288 
category220,2023/5/1,1284 
category310,2023/3/1,1272 
category251,2023/6/1,1262 
category11,2022/9/1,1261 
category148,2023/1/1,1258 
category310,2023/4/1,1257 
category335,2022/9/1,1250 
category342,2023/3/1,1247 
category221,2023/6/1,1246 
category199,2023/3/1,1245 
category162,2023/1/1,1240 
category106,2023/5/1,1236 
category106,2023/2/1,1236 
category349,2022/8/1,1227 
category69,2023/5/1,1225 
category69,2023/4/1,1211 
category199,2023/2/1,1206 
category66,2022/8/1,1205 
category68,2023/6/1,1188 
category57,2023/6/1,1181 
category59,2022/9/1,1179 
category9,2023/6/1,1177 
category291,2023/1/1,1176 
category69,2022/9/1,1173 
category206,2022/8/1,1168 
category133,2022/8/1,1163 
category10,2023/4/1,1162 
category66,2023/4/1,1150 
category291,2023/5/1,1146 
category57,2022/7/1,1146 
category148,2023/4/1,1139 
category221,2023/5/1,1130 
category350,2023/2/1,1119 
category206,2023/1/1,1115 
category335,2023/4/1,1115 
category9,2023/5/1,1110 
category350,2023/3/1,1107 
category310,2023/5/1,1097 
category269,2023/2/1,1086 
category106,2023/4/1,1074 
category206,2023/6/1,1069 
category341,2023/4/1,1060 
category148,2023/3/1,1059 
category206,2023/5/1,1059 
category57,2023/5/1,1056 
category314,2022/9/1,1045 
category304,2022/7/1,1032 
category69,2023/3/1,1031 
category41,2023/5/1,1026 
category269,2023/1/1,1025 
category132,2023/6/1,1021 
category57,2023/3/1,1021 
category314,2023/5/1,1007 
category234,2022/8/1,994 
category57,2023/1/1,988 
category69,2023/2/1,987 
category162,2022/9/1,985 
category235,2022/7/1,985 
category269,2023/3/1,979 
category133,2022/7/1,978 
category180,2023/5/1,976 
category251,2023/4/1,973 
category142,2023/6/1,969 
category69,2023/1/1,963 
category10,2023/5/1,963 
category349,2022/9/1,959 
category292,2023/5/1,947 
category206,2023/3/1,945 
category68,2023/2/1,939 
category202,2022/9/1,928 
category66,2023/5/1,928 
category206,2023/2/1,928 
category162,2023/4/1,927 
category342,2023/5/1,919 
category206,2023/4/1,916 
category235,2022/9/1,904 
category255,2022/7/1,903 
category343,2023/3/1,896 
category57,2022/8/1,896 
category327,2022/8/1,891 
category323,2023/5/1,888 
category36,2023/3/1,883 
category314,2022/7/1,883 
category142,2023/5/1,881 
category346,2023/4/1,874 
category221,2023/4/1,862 
category343,2023/4/1,860 
category265,2022/8/1,855 
category235,2022/8/1,846 
category350,2023/4/1,842 
category350,2022/7/1,837 
category50,2023/6/1,837 
category319,2023/1/1,834 
category206,2022/9/1,827 
category181,2023/6/1,825 
category334,2023/5/1,816 
category289,2023/2/1,815 
category319,2023/4/1,814 
category331,2022/9/1,812 
category81,2023/2/1,809 
category10,2023/6/1,806 
category36,2023/4/1,805 
category162,2023/2/1,798 
category66,2023/6/1,797 
category335,2023/5/1,790 
category142,2022/7/1,786 
category234,2022/9/1,780 
category36,2023/6/1,780 
category199,2022/8/1,773 
category142,2023/4/1,761 
category269,2022/8/1,761 
category341,2023/6/1,758 
category106,2023/3/1,755 
category335,2023/2/1,755 
category119,2022/7/1,752 
category269,2022/7/1,745 
category187,2022/8/1,740 
category319,2023/5/1,733 
category57,2022/9/1,726 
category265,2022/9/1,721 
category142,2023/3/1,720 
category199,2022/9/1,720 
category50,2023/5/1,719 
category199,2022/7/1,707 
category335,2023/6/1,706 
category309,2023/4/1,697 
category6,2023/5/1,694 
category319,2023/3/1,693 
category6,2023/6/1,691 
category319,2023/2/1,689 
category142,2022/8/1,679 
category291,2023/3/1,669 
category131,2023/1/1,665 
category180,2023/4/1,664 
category181,2023/1/1,651 
category36,2023/5/1,649 
category149,2023/6/1,642 
category179,2022/7/1,638 
category142,2023/2/1,637 
category181,2023/2/1,635 
category10,2022/7/1,632 
category142,2023/1/1,628 
category323,2023/6/1,622 
category142,2022/9/1,621 
category251,2023/5/1,614 
category291,2023/4/1,612 
category343,2023/5/1,611 
category331,2022/8/1,609 
category119,2022/8/1,608 
category235,2023/2/1,604 
category50,2023/3/1,602 
category119,2022/9/1,598 
category207,2023/3/1,598 
category41,2023/1/1,596 
category181,2023/3/1,593 
category50,2023/1/1,591 
category309,2023/3/1,588 
category6,2023/4/1,587 
category235,2023/4/1,585 
category235,2023/1/1,585 
category41,2023/3/1,579 
category149,2023/2/1,574 
category50,2023/4/1,570 
category350,2023/5/1,566 
category269,2022/9/1,562 
category341,2023/5/1,561 
category342,2022/8/1,560 
category187,2023/3/1,558 
category344,2023/3/1,555 
category235,2023/6/1,553 
category181,2023/4/1,548 
category326,2023/6/1,544 
category55,2023/4/1,539 
category235,2023/5/1,537 
category149,2023/5/1,527 
category213,2023/4/1,522 
category309,2022/7/1,521 
category244,2022/7/1,519 
category255,2022/8/1,511 
category10,2022/8/1,510 
category319,2022/9/1,509 
category244,2022/8/1,505 
category10,2022/9/1,500 
category329,2022/8/1,499 
category149,2022/7/1,497 
category329,2022/9/1,493 
category291,2023/2/1,492 
category145,2022/9/1,491 
category55,2023/3/1,490 
category244,2022/9/1,489 
category57,2023/2/1,483 
category309,2023/1/1,483 
category349,2023/1/1,481 
category235,2023/3/1,474 
category319,2022/8/1,468 
category50,2022/9/1,467 
category328,2023/3/1,465 
category50,2022/8/1,464 
category50,2023/2/1,461 
category134,2023/2/1,458 
category134,2023/1/1,457 
category328,2023/4/1,457 
category134,2023/3/1,456 
category134,2023/4/1,454 
category134,2023/5/1,453 
category343,2023/6/1,451 
category96,2023/6/1,444 
category304,2022/8/1,443 
category6,2023/1/1,442 
category328,2023/5/1,435 
category329,2023/6/1,425 
category244,2023/1/1,420 
category55,2023/1/1,416 
category327,2022/9/1,416 
category149,2022/9/1,414 
category149,2022/8/1,413 
category52,2022/8/1,412 
category55,2023/2/1,408 
category213,2023/2/1,407 
category181,2023/5/1,405 
category244,2023/2/1,403 
category54,2023/1/1,402 
category329,2023/3/1,401 
category329,2023/4/1,401 
category329,2023/5/1,401 
category329,2023/2/1,401 
category329,2023/1/1,400 
category149,2023/3/1,399 
category328,2023/2/1,398 
category335,2023/3/1,398 
category24,2022/7/1,396 
category328,2023/6/1,392 
category36,2023/1/1,389 
category244,2023/3/1,389 
category213,2023/3/1,388 
category344,2023/1/1,386 
category294,2023/1/1,385 
category342,2022/9/1,379 
category71,2022/7/1,375 
category55,2023/6/1,373 
category244,2023/4/1,373 
category6,2022/7/1,372 
category37,2023/6/1,367 
category304,2022/9/1,361 
category349,2023/2/1,360 
category10,2023/2/1,359 
category149,2023/1/1,359 
category149,2023/4/1,357 
category131,2022/7/1,355 
category181,2022/9/1,355 
category193,2023/5/1,347 
category315,2023/1/1,342 
category6,2023/2/1,338 
category244,2023/5/1,337 
category6,2022/8/1,337 
category41,2023/2/1,332 
category213,2023/6/1,331 
category244,2023/6/1,330 
category6,2023/3/1,328 
category193,2023/2/1,323 
category55,2023/5/1,320 
category294,2023/4/1,320 
category193,2023/6/1,319 
category9,2022/8/1,317 
category255,2022/9/1,315 
category317,2022/7/1,313 
category350,2022/9/1,308 
category193,2023/1/1,304 
category221,2023/3/1,304 
category213,2023/5/1,303 
category317,2022/9/1,303 
category338,2022/8/1,296 
category9,2022/7/1,294 
category9,2023/1/1,289 
category317,2022/8/1,289 
category344,2023/2/1,288 
category310,2023/6/1,288 
category193,2023/3/1,284 
category9,2023/4/1,279 
category349,2023/4/1,277 
category328,2023/1/1,277 
category54,2023/3/1,276 
category181,2022/8/1,274 
category294,2023/2/1,272 
category343,2022/7/1,269 
category327,2023/2/1,268 
category343,2022/8/1,266 
category349,2023/5/1,261 
category193,2023/4/1,257 
category36,2023/2/1,252 
category6,2022/9/1,246 
category181,2022/7/1,241 
category213,2023/1/1,240 
category338,2022/7/1,237 
category330,2022/7/1,235 
category265,2022/7/1,234 
category317,2023/1/1,232 
category349,2023/3/1,231 
category193,2022/9/1,231 
category31,2022/7/1,230 
category338,2022/9/1,230 
category315,2023/3/1,228 
category315,2023/5/1,225 
category315,2023/2/1,225 
category31,2022/8/1,224 
category170,2023/4/1,217 
category315,2023/4/1,215 
category207,2023/1/1,208 
category330,2022/8/1,206 
category338,2023/1/1,202 
category338,2023/6/1,201 
category36,2022/7/1,199 
category221,2022/8/1,198 
category193,2022/8/1,196 
category317,2023/2/1,196 
category221,2023/1/1,195 
category131,2022/8/1,195 
category219,2022/7/1,190 
category167,2023/3/1,189 
category334,2023/4/1,189 
category338,2023/5/1,188 
category134,2023/6/1,187 
category55,2022/9/1,187 
category193,2022/7/1,187 
category167,2023/2/1,185 
category315,2023/6/1,185 
category9,2023/2/1,183 
category343,2022/9/1,183 
category55,2022/8/1,182 
category213,2022/8/1,182 
category330,2022/9/1,182 
category41,2022/8/1,181 
category170,2023/5/1,180 
category219,2022/9/1,180 
category219,2022/8/1,178 
category317,2023/4/1,178 
category148,2023/2/1,177 
category37,2022/7/1,177 
category31,2022/9/1,172 
category37,2022/8/1,172 
category221,2022/7/1,171 
category327,2023/3/1,170 
category37,2022/9/1,168 
category338,2023/3/1,168 
category349,2023/6/1,168 
category9,2022/9/1,166 
category31,2023/1/1,165 
category37,2023/3/1,164 
category31,2023/2/1,162 
category219,2023/1/1,161 
category36,2022/8/1,160 
category338,2023/4/1,160 
category9,2023/3/1,160 
category213,2022/9/1,160 
category219,2023/3/1,160 
category31,2023/3/1,159 
category338,2023/2/1,159 
category41,2022/7/1,158 
category317,2023/5/1,157 
category309,2022/8/1,156 
category31,2023/4/1,156 
category115,2023/3/1,155 
category216,2023/6/1,155 
category219,2023/4/1,155 
category219,2023/2/1,155 
category317,2023/3/1,155 
category221,2023/2/1,153 
category334,2022/7/1,152 
category294,2023/5/1,150 
category115,2023/6/1,150 
category219,2023/5/1,148 
category346,2023/5/1,148 
category115,2023/4/1,145 
category170,2023/6/1,145 
category216,2023/1/1,144 
category291,2022/9/1,144 
category37,2023/1/1,142 
category346,2023/6/1,140 
category115,2023/5/1,138 
category115,2022/9/1,136 
category131,2022/9/1,135 
category31,2023/5/1,135 
category170,2022/7/1,133 
category327,2023/4/1,131 
category37,2023/5/1,130 
category309,2022/9/1,129 
category294,2023/6/1,127 
category317,2023/6/1,127 
category334,2023/3/1,126 
category36,2022/9/1,125 
category115,2023/1/1,124 
category221,2022/9/1,124 
category343,2023/2/1,124 
category167,2023/5/1,123 
category327,2023/1/1,123 
category167,2023/4/1,123 
category294,2022/7/1,122 
category343,2023/1/1,122 
category219,2023/6/1,121 
category309,2023/2/1,119 
category207,2023/2/1,116 
category334,2022/9/1,116 
category170,2022/8/1,115 
category315,2022/7/1,115 
category37,2023/2/1,113 
category54,2023/4/1,111 
category319,2022/7/1,110 
category216,2023/2/1,109 
category291,2022/8/1,108 
category115,2022/8/1,106 
category83,2023/6/1,106 
category207,2022/7/1,106 
category342,2023/2/1,105 
category83,2023/4/1,104 
category37,2023/4/1,101 
category82,2023/6/1,101 
category210,2023/6/1,101 
category115,2023/2/1,96 
category187,2023/1/1,95 
category337,2023/2/1,95 
category83,2022/9/1,92 
category334,2022/8/1,91 
category115,2022/7/1,90 
category260,2022/7/1,89 
category337,2022/7/1,88 
category167,2023/6/1,87 
category210,2023/5/1,86 
category82,2022/8/1,85 
category291,2022/7/1,84 
category82,2023/4/1,83 
category337,2023/4/1,83 
category54,2023/2/1,82 
category83,2022/7/1,78 
category216,2023/4/1,78 
category55,2022/7/1,75 
category337,2023/5/1,75 
category288,2022/8/1,75 
category327,2023/5/1,74 
category83,2023/5/1,73 
category337,2023/6/1,73 
category294,2022/8/1,72 
category187,2023/4/1,71 
category337,2023/3/1,71 
category216,2023/5/1,71 
category334,2023/1/1,70 
category82,2023/2/1,69 
category82,2023/5/1,68 
category315,2022/9/1,68 
category83,2023/2/1,67 
category216,2022/7/1,67 
category216,2023/3/1,67 
category294,2023/3/1,67 
category83,2023/3/1,65 
category187,2023/5/1,65 
category260,2022/9/1,65 
category326,2022/8/1,64 
category330,2023/1/1,64 
category167,2023/1/1,63 
category216,2022/9/1,63 
category328,2022/9/1,63 
category41,2022/9/1,62 
category82,2023/1/1,62 
category83,2023/1/1,62 
category216,2022/8/1,61 
category337,2023/1/1,59 
category82,2023/3/1,59 
category187,2023/2/1,59 
category294,2022/9/1,59 
category54,2022/9/1,58 
category82,2022/9/1,58 
category187,2022/7/1,58 
category348,2022/7/1,57 
category348,2022/8/1,57 
category54,2022/8/1,57 
category54,2022/7/1,56 
category334,2023/2/1,56 
category328,2022/7/1,55 
category344,2022/8/1,55 
category260,2022/8/1,55 
category337,2022/8/1,54 
category339,2022/7/1,54 
category339,2023/1/1,52 
category328,2022/8/1,52 
category326,2023/1/1,51 
category339,2023/2/1,51 
category167,2022/9/1,50 
category339,2022/8/1,50 
category339,2023/3/1,49 
category339,2022/9/1,49 
category339,2023/4/1,49 
category260,2023/1/1,48 
category332,2022/7/1,47 
category332,2022/9/1,47 
category332,2022/8/1,47 
category326,2023/2/1,45 
category82,2022/7/1,44 
category187,2023/6/1,44 
category331,2022/7/1,43 
category260,2023/2/1,42 
category83,2022/8/1,40 
category288,2022/7/1,40 
category274,2023/6/1,39 
category327,2023/6/1,39 
category344,2022/7/1,38 
category31,2023/6/1,37 
category210,2023/2/1,37 
category212,2022/9/1,37 
category260,2023/3/1,37 
category260,2023/4/1,37 
category260,2023/6/1,37 
category249,2022/9/1,36 
category249,2022/8/1,36 
category249,2022/7/1,35 
category274,2023/4/1,35 
category249,2023/5/1,35 
category260,2023/5/1,35 
category330,2023/2/1,35 
category274,2023/2/1,34 
category249,2023/3/1,34 
category249,2023/4/1,34 
category249,2023/1/1,34 
category249,2023/2/1,34 
category274,2023/5/1,34 
category330,2023/4/1,34 
category212,2022/7/1,33 
category249,2023/6/1,33 
category344,2022/9/1,33 
category52,2022/7/1,31 
category170,2023/1/1,31 
category315,2022/8/1,30 
category210,2023/4/1,29 
category339,2023/5/1,29 
category337,2022/9/1,29 
category348,2022/9/1,29 
category5,2023/5/1,28 
category274,2023/3/1,27 
category339,2023/6/1,27 
category170,2023/3/1,26 
category159,2022/9/1,25 
category159,2022/7/1,25 
category159,2023/3/1,25 
category159,2023/1/1,25 
category159,2023/4/1,25 
category159,2023/2/1,25 
category159,2023/5/1,25 
category159,2023/6/1,25 
category159,2022/8/1,25 
category212,2022/8/1,24 
category210,2022/9/1,24 
category170,2022/9/1,23 
category207,2022/8/1,22 
category7,2022/7/1,21 
category346,2022/7/1,20 
category330,2023/3/1,19 
category274,2022/9/1,19 
category274,2022/8/1,18 
category274,2023/1/1,18 
category7,2022/9/1,17 
category288,2022/9/1,17 
category7,2022/8/1,17 
category167,2022/7/1,16 
category7,2023/1/1,16 
category167,2022/8/1,16 
category7,2023/2/1,15 
category54,2023/5/1,15 
category210,2023/3/1,15 
category7,2023/3/1,14 
category345,2023/1/1,14 
category345,2023/2/1,13 
category326,2022/9/1,13 
category336,2023/2/1,12 
category336,2023/1/1,12 
category348,2023/1/1,12 
category345,2022/9/1,11 
category348,2023/3/1,11 
category348,2023/2/1,11 
category288,2023/3/1,11 
category288,2023/1/1,11 
category288,2023/2/1,11 
category345,2023/3/1,11 
category348,2023/4/1,11 
category7,2023/4/1,10 
category192,2022/7/1,10 
category170,2023/2/1,10 
category288,2023/4/1,10 
category10,2023/1/1,9 
category336,2023/3/1,9 
category50,2022/7/1,9 
category54,2023/6/1,9 
category213,2022/7/1,9 
category345,2023/4/1,9 
category207,2022/9/1,8 
category348,2023/5/1,8 
category7,2023/5/1,8 
category345,2022/7/1,8 
category332,2023/1/1,7 
category345,2023/5/1,7 
category348,2023/6/1,7 
category345,2022/8/1,7 
category274,2022/7/1,6 
category332,2023/3/1,6 
category332,2023/2/1,6 
category7,2023/6/1,6 
category288,2023/5/1,5 
category332,2023/4/1,5 
category336,2023/4/1,4 
category288,2023/6/1,4 
category332,2023/6/1,3 
category332,2023/5/1,3 
category326,2022/7/1,3 
category345,2023/6/1,2 
category304,2023/3/1,2 
category304,2023/4/1,2 
category304,2023/2/1,2 
category304,2023/6/1,2 
category304,2023/5/1,2 
category304,2023/1/1,2 
category336,2023/6/1,1 
category336,2023/5/1,1 
category210,2022/7/1,1 
category210,2022/8/1,1 
category210,2023/1/1,1 
category326,2023/3/1,1 
category326,2023/4/1,1 
category326,2023/5/1,1 
category329,2022/7/1,1 
category336,2022/7/1,1 
category336,2022/9/1,1 
category336,2022/8/1,1 